task_suite_name,exp_name,task_id,task_description,trial_id,init_state_idx,success,episode_steps,declared_num_episode_inferences,observed_inference_rows,declared_rows_match,effective_env_steps_per_inference,policy_ms_first_inference,server_ms_first_inference,policy_ms_mean_per_call,policy_ms_median_per_call,policy_ms_std_per_call,policy_ms_min_per_call,policy_ms_max_per_call,policy_ms_total_episode,server_ms_mean_per_call,server_ms_median_per_call,server_ms_std_per_call,server_ms_min_per_call,server_ms_max_per_call,server_ms_total_episode,policy_ms_mean_per_call_excluding_infer0,policy_ms_total_episode_excluding_infer0,server_ms_mean_per_call_excluding_infer0,server_ms_total_episode_excluding_infer0,source_file
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,0,0,1,255,50,50,1,5.1,30065.45077636838,30129.333395510912,678.7810366973281,78.95445264875889,4198.095767895178,77.35714130103588,30065.45077636838,33939.051834866405,684.4156337156892,83.29690620303154,4206.417021232561,81.42617344856262,30129.333395510912,34220.78168578446,79.05308282649031,3873.601058498025,83.49894469946014,4091.448290273547,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_000.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,1,1,1,278,54,54,1,5.148148148148148,81.72058314085007,86.19233034551144,79.37582844385395,79.32369224727154,1.129480442647952,77.71850563585758,82.17194490134716,4286.294735968113,84.98832831780116,84.99707281589508,1.4488559260982088,82.41500332951546,88.33924494683743,4589.3697291612625,79.33158778919363,4204.574152827263,84.9656112984104,4503.177398815751,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_001.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,2,2,1,291,57,57,1,5.105263157894737,82.77112431824207,89.67476524412632,79.08382658895694,79.00537736713886,1.2489852595810131,77.54007168114185,84.83508042991161,4507.778115570545,84.65987541957905,84.43803153932095,1.5307934943883157,82.52167329192162,90.02588503062725,4825.612898916006,79.01798198664827,4425.006991252303,84.57032381556928,4735.93813367188,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_002.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,3,3,1,269,52,52,1,5.173076923076923,80.31344972550869,87.51644007861614,79.13935281193027,78.70637439191341,1.0748715814815333,77.65879482030869,83.47934484481812,4115.246346220374,85.24696765324244,85.06318088620901,1.822930662651373,82.50805176794529,90.537890791893,4432.842317968607,79.11633130382089,4034.9328964948654,85.20246819392139,4345.325877889991,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_003.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,4,4,1,385,76,76,1,5.065789473684211,78.92621867358685,85.70679649710655,79.69623505088843,79.32072971016169,1.9208603665253736,77.27398723363876,90.68647213280201,6056.913863867521,85.39269423406375,85.23305226117373,2.1061208470212933,81.63965679705143,95.54044902324677,6489.844761788845,79.70650193591912,5977.987645193934,85.38850620388985,6404.1379652917385,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_004.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,5,5,1,308,60,60,1,5.133333333333334,79.45221662521362,85.77041886746883,78.92094825704892,78.75023316591978,1.1757764302214428,77.53784768283367,84.79089289903641,4735.2568954229355,84.35351566101114,84.22164246439934,1.495961754801793,81.0682475566864,90.26842005550861,5061.210939660668,78.91194370843597,4655.804678797722,84.3295003524271,4975.4405207931995,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_005.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,6,6,1,299,58,58,1,5.155172413793103,80.19273541867733,85.31216159462929,78.87538005437317,78.77936027944088,1.0784969908823283,77.28579081594944,84.08283442258835,4574.772043153644,84.61237403339354,84.27922986447811,1.9994127707651497,81.91138133406639,92.4721322953701,4907.517693936825,78.8522685567538,4494.579307734966,84.60009705863501,4822.2055323421955,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_006.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,7,7,1,266,52,52,1,5.115384615384615,80.31035214662552,86.44800074398518,79.96584124003465,79.85836640000343,1.242923272809354,77.27616839110851,82.93320797383785,4158.223744481802,86.97804919658945,86.40896063297987,2.4232735009367743,82.13130757212639,93.50818768143654,4522.8585582226515,79.95908612421914,4077.9133923351765,86.98844230350326,4436.410557478666,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_007.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,8,8,1,255,50,50,1,5.1,82.10794068872929,87.77646161615849,79.30144604295492,79.00847215205431,1.7457929384497881,77.2378221154213,88.54768425226212,3965.072302147746,84.7082793712616,84.29677225649357,1.9581544987981723,81.41849935054779,94.19571980834007,4235.41396856308,79.24417064202075,3882.964361459017,84.64566340708002,4147.637506946921,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_008.jsonl
libero_10,acot_libero_long_timing_50,0,put both the alphabet soup and the tomato sauce in the basket,9,9,1,249,48,48,1,5.1875,79.71291802823544,85.42769029736519,79.06503156603624,79.1132003068924,0.9401686732312429,77.5012020021677,81.32366463541985,3795.1215151697397,84.75186287735899,84.64932069182396,1.1766772095395848,82.30009116232395,86.95500902831554,4068.0894181132317,79.05124674769158,3715.4085971415043,84.73748357055035,3982.6617278158665,/Users/kongyue/Downloads/libero_long_timing_logs/aligned_eval/acot_libero_long_timing_50/libero_10/episodes/task_00_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/trial_009.jsonl
